OrderID,Date,Product,Category,Quantity,UnitPrice,Region
125,2025-07-09,Laptop,Electronics,6,75491.0,Lahore
126,2025-08-04,Watch,Accessories,6,4513.0,Faisalabad
127,2025-08-24,Mobile Phone,Electronics,7,49147.0,Karachi
128,2025-05-19,Pen Pack,Stationery,3,157.0,Multan
129,2025-05-18,Watch,Accessories,8,4965.0,Islamabad
130,2025-08-19,Office Chair,Furniture,2,11469.0,Karachi
131,2025-09-11,Backpack,Accessories,7,2418.0,Islamabad
132,2025-05-13,Headphones,Electronics,8,3298.0,Islamabad
133,2025-09-22,Study Table,Furniture,5,9100.0,Karachi
134,2025-09-08,Mobile Phone,Electronics,4,46981.0,Multan
135,2025-09-09,Office Chair,Furniture,8,12350.0,Faisalabad
136,2025-07-27,Laptop,Electronics,2,71914.0,Karachi
137,2025-06-26,Study Table,Furniture,6,8952.0,Faisalabad
138,2025-08-21,Jacket,Fashion,6,3687.0,Islamabad
139,2025-04-09,Study Table,Furniture,5,8515.0,Islamabad
140,2025-09-05,Mobile Phone,Electronics,3,42224.0,Islamabad
141,2025-04-10,Jacket,Fashion,5,4165.0,Islamabad
142,2025-01-08,Office Chair,Furniture,6,11231.0,Multan
143,2025-01-28,Headphones,Electronics,5,3182.0,Multan
144,2025-09-09,Study Table,Furniture,3,9248.0,Lahore
145,2025-08-14,Laptop,Electronics,5,74541.0,Islamabad
146,2025-09-02,Headphones,Electronics,1,3327.0,Lahore
147,2025-01-28,Mobile Phone,Electronics,7,44926.0,Karachi
148,2025-05-08,Headphones,Electronics,5,3210.0,Lahore
149,2025-04-26,Watch,Accessories,7,5106.0,Multan
150,2025-06-02,Pen Pack,Stationery,8,162.0,Multan
4,2025-08-03,Watch,Accessories,1,5061.0,Karachi
