Student_ID,Gender,Age,Parental_Education,Internet_Access,Extracurricular_Activity,Primary_Study_Resource,Study_Hours_Per_Week,Attendance_Percent,Math_Score,Science_Score,English_Score,Final_Score,Result
STU1017,Female,17,Master's,No,Yes,Self Study,13.5,70.2,78.7,75.7,66.9,70.5,Pass
STU1018,Female,15,High School,Yes,Yes,Online Courses,10.1,79.7,65.4,52.6,49.9,54.9,Pass
STU1019,Male,17,Master's,Yes,No,Self Study,17.6,81.7,89.3,77.7,77.6,83.3,Pass
STU1020,Male,15,High School,Yes,Yes,Private Tuition,7.9,86.1,37.3,48.8,40.3,48.3,Fail
STU1021,Female,17,No Formal Education,Yes,Yes,Online Courses,13.5,75.3,58.1,53.1,51.6,60.7,Pass
STU1022,Female,16,No Formal Education,Yes,Yes,Private Tuition,7.9,75.8,42.2,51.5,40.7,51.4,Pass
STU1023,Male,18,High School,No,Yes,Online Courses,16.2,67.9,89.0,86.5,89.1,85.7,Pass
STU1024,Male,16,High School,Yes,No,Online Courses,14.8,93.8,68.2,76.9,56.8,65.8,Pass
STU1025,Male,15,Bachelor's,Yes,No,School Library,16.2,90.7,67.3,76.3,64.2,73.0,Pass
STU1026,Female,15,No Formal Education,No,No,Self Study,8.6,89.5,49.6,56.2,53.8,50.4,Pass
STU1027,Female,17,Bachelor's,Yes,No,School Library,14.0,77.1,71.8,63.5,77.3,73.5,Pass
STU1028,Male,17,High School,Yes,Yes,Online Courses,4.5,91.3,59.5,54.3,48.2,52.7,Pass
STU1029,Male,16,High School,Yes,Yes,Online Courses,11.1,100.0,80.9,82.0,77.5,81.5,Pass
STU1030,Male,16,High School,Yes,Yes,Online Courses,13.8,85.5,58.6,43.9,44.5,52.5,Pass
STU1031,Female,18,Bachelor's,Yes,Yes,Self Study,13.9,80.7,63.6,56.1,59.1,56.6,Pass
STU1032,Female,16,Bachelor's,Yes,Yes,Online Courses,13.4,81.0,72.5,72.4,76.2,76.0,Pass
STU1033,Female,18,Bachelor's,Yes,Yes,Private Tuition,16.3,75.8,65.0,64.8,59.3,64.7,Pass
STU1034,Female,15,High School,Yes,Yes,Online Courses,12.7,76.6,69.8,64.7,62.3,65.5,Pass
STU1035,Male,17,Bachelor's,Yes,Yes,Private Tuition,5.0,100.0,63.0,64.9,66.5,62.5,Pass
STU1036,Female,15,Master's,Yes,No,Online Courses,11.0,65.0,75.7,80.0,68.6,75.6,Pass
STU1037,Male,16,Bachelor's,No,No,Private Tuition,8.4,86.0,52.1,56.5,50.5,52.4,Pass
STU1038,Male,17,Master's,Yes,Yes,Self Study,9.6,74.0,65.8,69.5,66.9,62.0,Pass
STU1039,Female,15,Master's,No,No,Self Study,12.1,68.1,70.4,75.7,72.8,75.7,Pass
STU1040,Female,17,High School,Yes,Yes,Online Courses,7.9,87.1,58.9,54.9,63.4,55.0,Pass
STU1041,Female,16,High School,Yes,Yes,Online Courses,13.2,90.1,57.7,63.2,55.4,62.4,Pass
STU1042,Male,16,Bachelor's,No,No,School Library,8.6,58.8,33.2,39.1,34.0,34.5,Fail
STU1043,Female,16,No Formal Education,Yes,No,School Library,14.6,97.2,61.3,71.7,73.2,72.1,Pass
STU1044,Female,17,Master's,No,Yes,Private Tuition,9.8,90.3,88.5,98.5,84.8,88.5,Pass
STU1045,Female,16,Master's,Yes,No,Self Study,11.8,91.8,59.2,55.3,67.0,68.4,Pass
STU1046,Female,16,Bachelor's,No,No,Private Tuition,8.4,68.0,73.4,66.4,67.9,71.6,Pass
STU1047,Male,16,High School,Yes,Yes,Private Tuition,17.9,91.2,79.4,82.8,86.5,84.1,Pass
STU1048,Female,16,Bachelor's,Yes,Yes,Private Tuition,13.4,83.5,60.6,58.2,52.1,53.6,Pass
STU1049,Male,17,High School,No,No,Private Tuition,8.4,74.2,39.7,34.3,45.1,43.1,Fail
STU1050,Female,17,No Formal Education,Yes,No,School Library,8.6,82.6,71.5,69.4,74.0,77.9,Pass
STU1051,Female,16,High School,Yes,No,Online Courses,11.6,80.7,67.0,58.1,68.4,57.0,Pass
STU1052,Female,17,Bachelor's,No,Yes,Online Courses,10.2,57.1,55.9,41.6,55.9,55.4,Pass
STU1053,Female,15,Bachelor's,No,Yes,Private Tuition,8.2,78.3,63.9,74.5,74.1,67.7,Pass
STU1054,Male,15,Bachelor's,Yes,Yes,Private Tuition,8.4,76.1,63.6,57.1,47.2,60.4,Pass
STU1055,Male,16,Master's,Yes,Yes,School Library,17.9,90.0,98.5,99.6,92.7,98.2,Pass
STU1056,Male,18,High School,Yes,No,School Library,9.9,72.1,50.1,42.9,46.3,43.0,Fail
STU1057,Male,16,High School,Yes,No,Self Study,9.1,60.3,47.0,40.7,38.9,47.1,Fail
STU1058,Male,18,Master's,No,Yes,Private Tuition,12.1,87.9,60.4,52.4,67.9,62.1,Pass
STU1059,Female,15,Bachelor's,Yes,Yes,Private Tuition,20.0,91.0,94.2,100.0,87.2,92.9,Pass
STU1060,Female,16,No Formal Education,No,Yes,Self Study,9.6,63.8,64.0,72.3,65.7,68.2,Pass
STU1061,Male,17,Bachelor's,Yes,Yes,Private Tuition,14.1,87.0,66.8,75.2,69.3,70.6,Pass
STU1062,Female,16,High School,Yes,No,Private Tuition,8.5,77.9,47.2,59.8,55.5,63.8,Pass
STU1063,Female,15,High School,No,No,Private Tuition,5.6,96.2,51.7,55.2,53.6,59.2,Pass
STU1064,Male,15,Bachelor's,Yes,No,Private Tuition,8.1,93.1,67.0,66.7,59.0,63.8,Pass
STU1065,Male,17,Master's,No,Yes,Self Study,13.3,83.5,56.5,59.4,71.5,67.6,Pass
STU1066,Male,18,Bachelor's,Yes,Yes,Online Courses,14.1,88.4,69.7,82.9,80.5,86.5,Pass
STU1067,Female,17,Bachelor's,Yes,Yes,Online Courses,16.6,80.9,66.2,82.9,75.8,75.4,Pass
STU1068,Male,16,High School,No,Yes,School Library,10.0,76.5,40.3,50.3,52.4,45.9,Fail
STU1069,Male,15,High School,Yes,No,Online Courses,15.6,86.3,94.6,85.5,87.5,84.7,Pass
STU1070,Male,15,Master's,No,No,Online Courses,6.8,88.2,67.7,77.3,68.8,74.8,Pass
STU1071,Female,17,High School,No,No,Online Courses,12.4,83.7,54.4,52.0,47.3,56.0,Pass
STU1072,Male,15,High School,No,Yes,School Library,8.7,81.5,57.9,59.4,50.3,53.3,Pass
STU1073,Female,17,No Formal Education,Yes,No,School Library,7.5,67.3,52.1,54.1,47.9,51.1,Pass
STU1074,Male,15,High School,No,Yes,Online Courses,16.1,61.2,70.4,67.1,75.3,72.3,Pass
STU1075,Female,16,No Formal Education,Yes,Yes,Private Tuition,9.4,77.2,51.9,60.8,60.7,60.0,Pass
STU1076,Male,15,No Formal Education,Yes,Yes,Online Courses,5.5,66.2,21.5,42.1,31.0,32.5,Fail
STU1077,Female,16,Bachelor's,Yes,Yes,Private Tuition,6.5,67.9,51.2,61.9,56.2,57.3,Pass
STU1078,Female,17,High School,Yes,Yes,School Library,7.0,76.2,67.1,66.3,55.4,58.4,Pass
STU1079,Male,17,Master's,Yes,Yes,Self Study,12.4,88.7,72.7,67.1,68.9,69.9,Pass
STU1080,Male,18,No Formal Education,Yes,No,Self Study,9.7,72.2,71.9,65.5,69.8,71.7,Pass
STU1081,Female,16,Bachelor's,No,No,Online Courses,10.6,77.9,59.5,58.6,60.1,58.5,Pass
STU1082,Male,16,No Formal Education,Yes,No,Private Tuition,8.3,85.6,62.5,68.4,58.3,63.6,Pass
STU1083,Female,15,No Formal Education,No,No,School Library,17.3,84.3,61.9,81.5,75.8,68.4,Pass
STU1084,Male,16,Bachelor's,No,Yes,School Library,15.3,73.3,61.2,84.7,72.5,69.7,Pass
STU1085,Male,17,Bachelor's,Yes,Yes,Online Courses,13.6,93.6,78.5,83.4,74.5,77.6,Pass
STU1086,Male,17,Bachelor's,Yes,Yes,Online Courses,8.1,78.6,74.8,68.0,62.8,67.1,Pass
STU1087,Female,15,High School,Yes,Yes,Online Courses,15.1,64.6,58.0,56.0,52.0,55.4,Pass
STU1088,Male,17,High School,No,Yes,Private Tuition,7.8,91.7,83.6,79.9,86.6,80.1,Pass
STU1089,Male,18,High School,Yes,Yes,Private Tuition,5.7,77.1,58.7,63.8,70.4,64.3,Pass
STU1090,Male,17,Bachelor's,Yes,Yes,School Library,11.1,72.6,32.2,45.7,35.9,42.9,Fail
STU1091,Male,17,Bachelor's,Yes,Yes,Online Courses,16.3,91.5,92.0,98.8,94.0,92.8,Pass
STU1092,Male,16,High School,No,No,Private Tuition,6.2,86.2,51.2,55.7,53.0,52.0,Pass
STU1093,Female,17,Master's,Yes,Yes,Online Courses,5.3,81.4,53.7,59.6,56.6,55.2,Pass
STU1094,Male,15,High School,No,No,Self Study,12.2,86.7,62.6,52.4,69.0,60.3,Pass
STU1095,Male,16,No Formal Education,No,No,School Library,8.3,93.2,59.8,50.3,61.6,57.2,Pass
STU1096,Male,16,High School,Yes,No,School Library,9.2,94.3,73.2,61.7,62.6,67.9,Pass
STU1097,Female,15,Master's,Yes,No,Private Tuition,16.2,86.5,68.7,77.6,79.0,77.9,Pass
STU1098,Female,18,High School,Yes,Yes,School Library,9.9,97.0,62.5,71.0,62.0,61.4,Pass
STU1099,Male,16,Master's,Yes,No,Online Courses,9.6,77.8,69.7,49.8,63.6,61.4,Pass
STU1100,Male,16,Master's,Yes,No,Self Study,18.0,87.5,72.2,82.1,80.6,79.9,Pass
STU1101,Female,16,Master's,Yes,No,Online Courses,16.6,64.4,69.4,69.3,75.2,75.5,Pass
STU1102,Male,17,Bachelor's,Yes,Yes,Private Tuition,11.2,88.7,55.7,67.8,63.9,61.8,Pass
STU1103,Female,16,High School,Yes,Yes,Private Tuition,15.5,83.6,49.0,47.2,56.5,51.5,Pass
STU1104,Male,15,Bachelor's,Yes,No,School Library,14.4,72.3,62.8,69.9,59.0,68.3,Pass
STU1105,Male,15,Bachelor's,Yes,Yes,Self Study,6.6,70.4,74.4,71.7,68.2,70.7,Pass
STU1106,Female,17,Bachelor's,Yes,No,Private Tuition,9.8,98.0,79.8,68.5,66.8,72.0,Pass
STU1107,Female,17,No Formal Education,No,Yes,Self Study,14.5,82.4,63.4,67.4,56.2,59.3,Pass
STU1108,Male,16,Master's,No,Yes,Online Courses,4.1,75.0,31.6,36.2,23.5,30.9,Fail
STU1109,Female,17,High School,No,Yes,School Library,5.4,76.9,21.6,16.0,22.9,25.2,Fail
STU1110,Male,17,Master's,Yes,Yes,Online Courses,15.7,92.7,69.8,77.7,73.9,73.0,Pass
STU1111,Male,16,Master's,Yes,No,Self Study,4.7,86.9,64.9,64.0,47.8,54.9,Pass
STU1112,Female,17,High School,Yes,Yes,Self Study,8.5,70.7,80.2,77.7,72.8,79.3,Pass
STU1113,Female,18,High School,Yes,Yes,Online Courses,11.8,92.6,60.1,67.7,56.3,61.5,Pass
STU1114,Male,16,Master's,Yes,No,Self Study,9.1,90.3,71.3,64.6,73.8,69.9,Pass
STU1115,Male,16,No Formal Education,Yes,Yes,Online Courses,8.8,100.0,61.6,60.4,54.1,55.9,Pass
STU1116,Female,18,Bachelor's,Yes,No,School Library,11.8,81.3,66.7,57.8,71.3,66.6,Pass
STU1117,Female,16,No Formal Education,No,No,Online Courses,9.6,76.3,84.3,62.7,79.8,76.7,Pass
STU1118,Male,17,High School,Yes,No,Private Tuition,7.1,68.4,46.2,49.4,55.2,52.5,Pass
STU1119,Male,18,No Formal Education,Yes,Yes,Online Courses,4.7,84.4,56.5,55.7,45.1,55.1,Pass
STU1120,Female,18,No Formal Education,No,No,Private Tuition,7.4,88.4,56.2,49.9,61.6,59.0,Pass
STU1121,Male,17,High School,Yes,Yes,Private Tuition,13.4,79.4,70.2,81.8,77.7,74.0,Pass
STU1122,Female,17,Bachelor's,No,No,Private Tuition,14.3,78.7,62.5,74.0,56.7,69.5,Pass
STU1123,Female,16,Bachelor's,Yes,Yes,Online Courses,11.0,64.7,60.9,63.5,45.9,57.8,Pass
STU1124,Female,15,Bachelor's,Yes,No,Self Study,11.2,82.0,58.2,65.5,52.9,59.5,Pass
STU1125,Male,17,High School,Yes,Yes,Self Study,3.9,84.3,50.2,43.4,49.9,47.1,Fail
STU1126,Male,18,Bachelor's,Yes,No,Self Study,11.0,99.5,83.4,97.8,100.0,93.6,Pass
STU1127,Male,17,Bachelor's,Yes,Yes,School Library,10.3,75.8,68.4,59.2,61.9,59.0,Pass
STU1128,Female,16,High School,Yes,No,School Library,9.3,93.3,92.4,86.1,91.0,88.3,Pass
STU1129,Female,18,Bachelor's,Yes,Yes,Online Courses,3.4,94.5,61.1,57.9,57.0,57.2,Pass
STU1130,Female,15,Master's,Yes,No,Online Courses,11.4,77.6,55.5,53.3,57.0,58.9,Pass
STU1131,Male,17,Bachelor's,Yes,No,Private Tuition,7.2,81.6,75.7,79.6,76.5,72.1,Pass
STU1132,Male,18,High School,Yes,Yes,Self Study,12.9,99.9,56.6,50.6,64.0,61.0,Pass
STU1133,Female,15,No Formal Education,No,No,School Library,12.9,71.9,39.2,49.0,56.8,45.9,Fail
STU1134,Male,16,High School,Yes,No,Self Study,8.5,78.6,49.9,55.4,55.2,50.7,Pass
STU1135,Female,16,High School,Yes,No,Self Study,10.5,92.9,65.9,80.9,79.4,73.7,Pass
STU1136,Female,18,High School,Yes,Yes,School Library,9.3,92.0,60.4,53.3,58.8,60.7,Pass
STU1137,Female,15,High School,No,Yes,Private Tuition,11.5,71.6,52.0,37.9,45.7,41.5,Fail
STU1138,Male,16,Bachelor's,Yes,No,Private Tuition,7.1,84.3,65.7,65.8,65.6,64.6,Pass
STU1139,Female,15,Bachelor's,Yes,No,School Library,14.5,82.3,83.6,69.2,81.8,76.8,Pass
STU1140,Male,16,High School,No,Yes,Online Courses,7.7,80.3,77.6,77.9,78.0,71.5,Pass
STU1141,Male,17,Master's,Yes,Yes,Self Study,9.1,97.3,72.7,66.4,58.9,69.1,Pass
STU1142,Female,17,No Formal Education,Yes,No,Self Study,6.5,94.2,56.3,68.5,62.9,59.2,Pass
STU1143,Male,16,Bachelor's,Yes,Yes,Online Courses,13.1,90.3,81.4,81.6,89.5,78.0,Pass
STU1144,Male,18,High School,Yes,No,Self Study,12.8,72.5,75.8,69.4,67.1,71.7,Pass
STU1145,Male,18,High School,Yes,No,Private Tuition,7.8,88.4,75.4,76.2,82.7,75.9,Pass
STU1146,Female,15,High School,Yes,Yes,Self Study,14.3,94.6,85.4,84.3,84.0,86.3,Pass
STU1147,Male,17,High School,Yes,No,School Library,5.8,84.8,62.9,48.7,66.4,58.2,Pass
STU1148,Male,17,Bachelor's,Yes,No,Private Tuition,10.2,79.7,88.1,74.0,78.2,78.0,Pass
STU1149,Male,16,Bachelor's,Yes,No,School Library,9.1,89.2,52.3,58.6,67.8,57.4,Pass
STU1150,Female,18,Bachelor's,No,Yes,School Library,14.0,95.5,64.8,72.2,63.5,69.7,Pass
STU1151,Male,15,No Formal Education,Yes,Yes,Private Tuition,13.3,85.2,52.5,72.8,66.6,61.4,Pass
STU1152,Female,17,High School,Yes,Yes,Online Courses,5.7,69.3,52.1,55.4,59.8,54.6,Pass
STU1153,Male,17,No Formal Education,No,Yes,Private Tuition,12.0,97.6,58.9,57.8,64.4,57.2,Pass
STU1154,Female,17,High School,Yes,Yes,Online Courses,11.7,73.0,66.7,68.6,63.4,71.3,Pass
STU1155,Female,18,Bachelor's,Yes,Yes,School Library,11.1,82.3,63.3,60.6,62.7,65.7,Pass
STU1156,Female,16,Bachelor's,No,No,Private Tuition,6.0,71.7,41.8,32.2,42.7,38.1,Fail
STU1157,Female,16,Bachelor's,No,No,Self Study,1.8,89.3,31.0,41.3,39.1,36.5,Fail
STU1158,Male,16,High School,Yes,Yes,Self Study,14.7,59.7,76.8,87.0,75.3,77.8,Pass
STU1159,Male,17,High School,Yes,Yes,Self Study,10.1,75.7,68.7,59.8,61.3,61.7,Pass
STU1160,Male,17,Master's,No,Yes,School Library,5.1,70.2,28.5,32.0,33.6,39.5,Fail
STU1161,Female,16,High School,No,Yes,School Library,13.9,78.4,74.2,87.0,87.1,86.6,Pass
STU1162,Female,17,Bachelor's,Yes,No,School Library,16.4,100.0,78.1,88.6,89.1,79.7,Pass
STU1163,Female,15,Master's,Yes,No,Online Courses,10.7,96.1,63.7,62.2,54.5,63.3,Pass
STU1164,Male,16,Master's,Yes,No,School Library,14.4,84.6,74.7,83.4,73.8,75.6,Pass
STU1165,Male,17,Master's,Yes,No,Self Study,12.7,86.7,69.7,76.8,68.9,67.7,Pass
STU1166,Female,17,Master's,No,No,Private Tuition,10.9,87.3,71.5,78.3,76.5,79.2,Pass
STU1167,Female,17,High School,No,No,Private Tuition,8.5,72.3,70.8,65.9,63.5,63.4,Pass
STU1168,Male,16,High School,Yes,Yes,School Library,8.0,86.5,50.1,54.1,54.5,47.2,Fail
STU1169,Male,17,Bachelor's,Yes,Yes,School Library,10.8,74.8,62.6,63.1,66.0,57.9,Pass
STU1170,Female,17,Bachelor's,Yes,No,School Library,12.9,76.0,67.2,67.9,65.6,66.3,Pass
STU1171,Male,18,High School,Yes,Yes,Self Study,11.3,78.8,55.1,49.3,67.2,61.3,Pass
STU1172,Female,16,High School,Yes,Yes,Private Tuition,7.3,66.6,58.7,56.6,54.1,58.2,Pass
STU1173,Male,18,Master's,Yes,Yes,Online Courses,9.0,86.6,72.5,49.3,58.6,58.3,Pass
STU1174,Female,16,High School,Yes,Yes,Private Tuition,13.2,69.1,75.0,96.4,86.9,84.2,Pass
STU1175,Male,18,High School,Yes,No,Private Tuition,19.5,100.0,100.0,88.2,94.0,97.1,Pass
STU1176,Female,17,High School,Yes,Yes,Private Tuition,13.0,71.9,68.3,63.0,70.8,66.9,Pass
STU1177,Male,15,Bachelor's,No,Yes,Self Study,12.3,66.3,59.4,61.5,75.0,63.8,Pass
STU1178,Male,15,Master's,No,Yes,Online Courses,8.4,80.3,64.4,64.4,60.6,63.9,Pass
STU1179,Male,17,High School,Yes,No,Private Tuition,6.1,87.9,52.0,44.6,57.6,56.5,Pass
STU1180,Male,17,Bachelor's,No,Yes,Online Courses,11.3,65.1,50.7,54.4,56.3,50.6,Pass
STU1181,Male,16,High School,Yes,No,Private Tuition,2.9,77.5,52.4,45.6,55.6,49.6,Fail
STU1182,Male,17,Bachelor's,Yes,Yes,Online Courses,15.0,79.0,85.2,76.2,67.0,74.0,Pass
STU1183,Male,17,Bachelor's,Yes,Yes,School Library,9.2,85.9,59.3,66.3,72.2,68.8,Pass
STU1184,Female,18,Bachelor's,Yes,No,School Library,8.2,99.3,60.4,60.6,74.5,63.3,Pass
STU1185,Male,16,High School,Yes,Yes,Self Study,2.4,79.8,40.7,28.8,34.3,30.7,Fail
STU1186,Male,15,Master's,Yes,Yes,School Library,14.7,100.0,85.8,77.6,85.4,82.5,Pass
STU1187,Male,16,Bachelor's,Yes,No,Online Courses,15.4,87.8,62.3,67.0,66.8,72.9,Pass
STU1188,Female,17,No Formal Education,Yes,No,Online Courses,7.4,84.5,58.8,73.1,68.3,66.5,Pass
STU1189,Female,17,Bachelor's,No,No,Online Courses,14.1,83.7,76.3,69.7,67.1,67.6,Pass
STU1190,Male,16,Bachelor's,Yes,No,Self Study,7.0,80.5,58.0,66.8,60.8,68.7,Pass
STU1191,Male,17,Bachelor's,No,Yes,Online Courses,16.6,73.8,52.9,54.3,62.1,51.9,Pass
STU1192,Female,16,Master's,Yes,Yes,Private Tuition,9.9,72.6,70.6,65.7,67.7,69.8,Pass
STU1193,Female,17,High School,Yes,Yes,Private Tuition,9.7,90.2,75.2,77.6,70.3,73.1,Pass
STU1194,Male,17,High School,Yes,Yes,School Library,9.0,83.0,57.4,40.1,49.7,48.4,Fail
STU1195,Male,15,Bachelor's,No,No,Private Tuition,12.0,72.5,56.7,51.6,64.8,61.0,Pass
STU1196,Female,16,High School,No,No,Self Study,15.6,75.6,49.6,61.6,62.7,53.8,Pass
STU1197,Female,16,High School,No,Yes,Private Tuition,13.4,88.2,47.6,55.9,41.1,49.2,Fail
STU1198,Male,17,Bachelor's,Yes,Yes,Self Study,12.8,89.8,93.0,83.9,81.9,84.0,Pass
STU1199,Male,17,Bachelor's,Yes,No,Private Tuition,6.8,75.8,55.5,63.4,73.6,69.2,Pass
STU1200,Female,16,Bachelor's,Yes,No,Private Tuition,9.7,71.9,62.1,59.6,49.7,59.4,Pass
STU1201,Male,16,No Formal Education,No,No,Online Courses,10.3,72.5,66.0,67.7,66.1,72.2,Pass
STU1202,Male,18,Bachelor's,Yes,No,Online Courses,7.0,86.1,49.7,51.3,46.4,50.7,Pass
STU1203,Female,15,High School,Yes,Yes,Online Courses,9.5,74.2,48.0,45.4,51.8,53.5,Pass
STU1204,Female,15,Bachelor's,Yes,Yes,Self Study,8.6,63.4,68.1,67.9,66.0,64.0,Pass
STU1205,Female,17,High School,No,No,Self Study,11.5,68.8,73.7,79.5,68.0,74.8,Pass
STU1206,Male,15,Master's,Yes,Yes,Online Courses,5.3,72.2,51.6,50.7,49.2,47.4,Fail
STU1207,Female,17,Bachelor's,No,Yes,School Library,16.8,69.5,76.2,80.2,93.7,87.8,Pass
STU1208,Male,17,Bachelor's,Yes,No,School Library,21.3,86.2,93.5,98.3,91.6,98.7,Pass
STU1209,Male,17,Master's,No,No,Private Tuition,8.3,81.0,71.9,68.8,70.7,67.3,Pass
STU1210,Male,17,No Formal Education,No,No,School Library,6.7,91.9,31.0,38.7,35.3,36.3,Fail
STU1211,Male,17,High School,No,Yes,Private Tuition,0.5,81.5,27.7,47.1,29.2,32.1,Fail
STU1212,Male,17,High School,Yes,No,Private Tuition,4.3,75.6,11.0,22.7,24.9,20.2,Fail
STU1213,Female,17,No Formal Education,Yes,No,Private Tuition,9.3,95.7,70.1,72.6,58.1,68.6,Pass
STU1214,Female,18,Bachelor's,No,Yes,Online Courses,8.9,75.8,58.2,69.5,66.8,61.5,Pass
STU1215,Male,17,High School,Yes,Yes,Private Tuition,18.2,95.9,75.9,71.3,69.5,74.5,Pass
STU1216,Female,18,Bachelor's,No,Yes,Online Courses,20.2,73.3,69.1,75.6,76.9,74.3,Pass
STU1217,Male,15,Master's,Yes,No,Self Study,10.9,92.0,74.5,72.1,60.8,71.4,Pass
STU1218,Male,18,High School,Yes,No,Online Courses,9.5,89.7,79.8,71.7,76.8,80.2,Pass
STU1219,Female,16,Bachelor's,Yes,Yes,Online Courses,4.6,82.8,69.7,63.1,63.4,62.7,Pass
STU1220,Male,16,Bachelor's,Yes,No,School Library,8.8,77.3,69.0,63.9,58.1,63.9,Pass
STU1221,Female,17,Master's,Yes,No,Online Courses,13.3,88.0,79.0,70.4,75.0,73.7,Pass
STU1222,Male,17,Master's,Yes,Yes,Self Study,5.6,84.8,61.5,63.5,60.5,67.6,Pass
STU1223,Female,16,Bachelor's,No,Yes,Private Tuition,8.2,86.0,61.5,62.5,79.0,61.1,Pass
STU1224,Male,16,High School,Yes,Yes,School Library,12.1,63.2,55.6,51.7,56.7,58.2,Pass
STU1225,Female,17,Bachelor's,Yes,Yes,Private Tuition,9.3,82.2,54.5,65.9,62.9,59.3,Pass
STU1226,Male,16,Bachelor's,No,Yes,School Library,11.5,74.8,56.1,54.2,58.8,55.0,Pass
STU1227,Male,17,Master's,Yes,Yes,Private Tuition,6.7,71.5,40.8,39.1,42.8,45.8,Fail
STU1228,Female,16,Bachelor's,Yes,Yes,Online Courses,9.5,90.5,79.8,75.3,75.9,78.6,Pass
STU1229,Female,17,Bachelor's,Yes,Yes,Private Tuition,11.4,84.4,64.8,65.1,63.7,66.0,Pass
STU1230,Male,15,High School,Yes,Yes,Private Tuition,7.0,86.1,51.5,70.5,65.6,68.9,Pass
STU1231,Male,18,High School,No,Yes,Private Tuition,11.5,55.8,58.0,48.9,52.5,58.3,Pass
STU1232,Male,15,Bachelor's,Yes,No,Self Study,5.5,100.0,61.7,72.9,67.6,63.7,Pass
STU1233,Male,17,Bachelor's,Yes,No,Self Study,13.4,100.0,90.5,89.8,88.2,92.3,Pass
STU1234,Male,17,Bachelor's,Yes,No,School Library,12.3,91.6,74.9,62.3,64.8,71.9,Pass
STU1235,Female,17,High School,No,Yes,School Library,9.3,78.4,61.7,48.6,60.9,60.0,Pass
STU1236,Male,15,High School,Yes,No,Online Courses,13.9,91.1,66.9,60.6,65.7,60.8,Pass
STU1237,Male,16,High School,Yes,Yes,Online Courses,3.1,76.9,35.0,37.3,35.2,33.5,Fail
STU1238,Female,17,Bachelor's,No,Yes,School Library,9.4,79.8,100.0,98.6,97.3,95.0,Pass
STU1239,Male,17,High School,Yes,No,Private Tuition,7.3,82.4,60.5,63.7,54.8,55.7,Pass
STU1240,Female,16,High School,Yes,No,Self Study,19.8,94.3,73.6,69.2,73.8,74.9,Pass
STU1241,Female,16,Bachelor's,Yes,Yes,School Library,6.0,80.0,45.5,48.2,49.8,48.2,Fail
STU1242,Female,17,No Formal Education,Yes,No,Private Tuition,7.5,92.7,46.1,36.9,36.7,41.6,Fail
STU1243,Female,17,Bachelor's,Yes,No,Private Tuition,17.2,84.9,65.1,59.5,72.5,69.2,Pass
STU1244,Male,17,High School,Yes,No,Online Courses,4.1,76.1,45.0,37.1,50.4,41.5,Fail
STU1245,Male,15,Master's,Yes,Yes,School Library,16.9,99.9,78.5,94.8,82.2,84.1,Pass
STU1246,Male,16,Master's,Yes,No,Online Courses,12.2,84.2,55.3,66.4,57.7,68.3,Pass
STU1247,Male,16,Master's,No,No,School Library,16.9,75.0,92.1,85.5,75.2,82.4,Pass
STU1248,Female,17,High School,Yes,Yes,School Library,9.1,90.1,61.4,55.4,59.9,59.1,Pass
STU1249,Male,17,Master's,Yes,Yes,School Library,6.7,99.8,74.1,62.4,60.8,63.3,Pass
STU1250,Male,18,High School,No,Yes,Online Courses,14.1,74.5,88.5,76.0,86.2,82.7,Pass
